task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
526	e3/afbe6b	102327	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_17_B)	COMPLETED	0	2024-04-03 09:31:05.352	496ms	45ms	75.5%	1.5 MB	3.9 MB	118.5 KB	926 B
102	7e/3a2b70	100918	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_01_B)	COMPLETED	0	2024-04-03 09:31:03.598	2.5s	2s	448.9%	331.5 MB	1.7 GB	327.3 MB	315.9 MB
531	9d/ebdbf3	103343	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C1_B)	COMPLETED	0	2024-04-03 09:31:07.109	428ms	35ms	78.9%	1.5 MB	3.9 MB	118.5 KB	926 B
532	64/15a625	103546	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C2_B)	COMPLETED	0	2024-04-03 09:31:07.561	471ms	47ms	49.0%	1.5 MB	3.9 MB	118.5 KB	926 B
104	45/93b2cc	102408	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_01_S)	COMPLETED	0	2024-04-03 09:31:05.500	2.9s	3s	474.9%	324.9 MB	1.7 GB	436.3 MB	423.7 MB
534	b5/63dddb	103904	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C3_B)	COMPLETED	0	2024-04-03 09:31:08.058	537ms	40ms	85.5%	0	0	118.5 KB	927 B
539	10/4e2f0b	104208	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C4_B)	COMPLETED	0	2024-04-03 09:31:08.614	499ms	38ms	101.0%	0	0	118.5 KB	928 B
540	af/1ba06e	104569	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C5_B)	COMPLETED	0	2024-04-03 09:31:09.144	464ms	33ms	99.7%	0	0	118.5 KB	927 B
101	f4/5f9acc	101418	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_01_B)	COMPLETED	0	2024-04-03 09:31:04.297	5.5s	5s	255.8%	473.6 MB	6.3 GB	34.7 MB	5.1 MB
548	32/4bc658	104987	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_C6_B)	COMPLETED	0	2024-04-03 09:31:09.858	435ms	46ms	62.4%	1.5 MB	3.9 MB	118.5 KB	927 B
108	32/0f5605	104012	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_02_B)	COMPLETED	0	2024-04-03 09:31:08.391	2.6s	2s	414.1%	318.1 MB	1.7 GB	302.4 MB	291.3 MB
103	8f/30fb10	102753	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_01_S)	COMPLETED	0	2024-04-03 09:31:06.086	5.4s	5s	243.5%	774.6 MB	6.4 GB	42.1 MB	4.9 MB
551	b6/ae7aa5	105644	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_01_B)	COMPLETED	0	2024-04-03 09:31:10.993	578ms	37ms	84.1%	1.5 MB	3.9 MB	118.5 KB	927 B
552	6e/bb3a8e	106135	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_01_S)	COMPLETED	0	2024-04-03 09:31:11.592	509ms	62ms	77.0%	1.5 MB	3.9 MB	118.5 KB	927 B
558	2b/ddd1da	106928	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_02_B)	COMPLETED	0	2024-04-03 09:31:13.128	411ms	36ms	76.7%	1.5 MB	3.9 MB	118.5 KB	926 B
559	43/b49555	107220	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_02_S)	COMPLETED	0	2024-04-03 09:31:13.561	425ms	34ms	85.6%	0	0	118.5 KB	926 B
110	47/addf09	106119	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_02_S)	COMPLETED	0	2024-04-03 09:31:11.508	2.7s	3s	490.6%	334 MB	1.7 GB	420.5 MB	407.9 MB
560	57/7cd108	107392	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_S3_B)	COMPLETED	0	2024-04-03 09:31:14.021	546ms	35ms	85.6%	1.5 MB	3.9 MB	118.5 KB	927 B
107	39/5dcf68	104930	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_02_B)	COMPLETED	0	2024-04-03 09:31:09.826	5.4s	5s	236.7%	525.6 MB	6.5 GB	32.7 MB	4.9 MB
565	69/cdf083	108023	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_SF_S3_S)	COMPLETED	0	2024-04-03 09:31:14.597	608ms	37ms	90.6%	0	0	118.5 KB	927 B
109	71/89a492	105637	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_SF_02_S)	COMPLETED	0	2024-04-03 09:31:10.975	5.3s	5s	263.6%	514.8 MB	6.5 GB	41.9 MB	5 MB
113	de/4a9716	107546	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_S3_B)	COMPLETED	0	2024-04-03 09:31:14.252	2.1s	2s	388.4%	287.6 MB	1.5 GB	246.5 MB	236 MB
571	44/0bcbb8	108890	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C1_B)	COMPLETED	0	2024-04-03 09:31:16.240	489ms	37ms	98.2%	1.5 MB	3.9 MB	118.5 KB	927 B
572	e6/15639f	109497	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C1_S)	COMPLETED	0	2024-04-03 09:31:16.747	484ms	49ms	79.2%	1.5 MB	3.9 MB	118.5 KB	927 B
90	2c/4421b9	94991	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_DI_BK2B_NA)	COMPLETED	0	2024-04-03 09:30:53.277	24.8s	24s	112.6%	967.8 MB	7 GB	58.1 MB	14.2 MB
578	4b/9c0348	110156	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_VW_C2_B)	COMPLETED	0	2024-04-03 09:31:18.145	419ms	49ms	61.5%	1.5 MB	3.9 MB	118.5 KB	926 B
117	2b/f42594	108975	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_SF_S3_S)	COMPLETED	0	2024-04-03 09:31:16.387	2.7s	2s	447.7%	292.8 MB	1.6 GB	399.9 MB	387.6 MB
