task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
275	db/c4ef9d	160880	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C5_B)	COMPLETED	0	2024-04-03 09:32:54.329	4.5s	4s	258.0%	320.1 MB	6.5 GB	18.6 MB	5.1 MB
278	06/249848	161883	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C6_B)	COMPLETED	0	2024-04-03 09:32:56.802	2.2s	1s	265.9%	69.9 MB	761.4 MB	130.4 MB	121 MB
281	95/7e78b6	162869	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_SF_01_B)	COMPLETED	0	2024-04-03 09:32:58.813	1.9s	1s	187.5%	11.1 MB	24.1 MB	69.3 MB	60.8 MB
279	f0/28f2f1	162236	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C6_B)	COMPLETED	0	2024-04-03 09:32:57.862	4.4s	4s	256.3%	335.8 MB	6.3 GB	20.8 MB	5.1 MB
285	09/c5640c	163615	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_SF_02_B)	COMPLETED	0	2024-04-03 09:33:00.729	2s	1s	200.5%	32.3 MB	44.6 MB	74.1 MB	65.7 MB
282	4d/7a3067	162956	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_SF_01_B)	COMPLETED	0	2024-04-03 09:32:58.986	4.6s	4s	227.8%	314.9 MB	6.3 GB	16.6 MB	5.1 MB
288	94/0ed125	164817	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C1_B)	COMPLETED	0	2024-04-03 09:33:03.578	2s	2s	200.2%	60 MB	754 MB	76 MB	67.3 MB
284	15/227828	164257	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_SF_02_B)	COMPLETED	0	2024-04-03 09:33:02.301	4.5s	4s	257.8%	417.5 MB	6.5 GB	15.9 MB	5 MB
287	5d/400a6f	164575	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C1_B)	COMPLETED	0	2024-04-03 09:33:02.738	4.5s	4s	259.2%	323.8 MB	6.3 GB	17 MB	5.1 MB
289	a4/8eb8ac	165921	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C1_S)	COMPLETED	0	2024-04-03 09:33:06.792	2s	1s	177.8%	41.8 MB	783.8 MB	73.3 MB	64.7 MB
290	31/b3d16b	165555	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C1_S)	COMPLETED	0	2024-04-03 09:33:05.627	4.5s	5s	262.0%	319.7 MB	6.5 GB	16.8 MB	5 MB
292	06/09b980	166870	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C2_B)	COMPLETED	0	2024-04-03 09:33:08.863	2s	1s	230.9%	36.8 MB	49 MB	87.7 MB	78.9 MB
293	37/ed491b	166179	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C2_B)	COMPLETED	0	2024-04-03 09:33:07.237	4.5s	4s	273.8%	335.8 MB	6.4 GB	17.8 MB	5.1 MB
295	43/d70202	167212	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C2_S)	COMPLETED	0	2024-04-03 09:33:10.191	2s	2s	254.6%	38.6 MB	718.9 MB	108.4 MB	99.4 MB
298	d3/ee96d9	168203	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C3_B)	COMPLETED	0	2024-04-03 09:33:11.752	1.9s	1s	209.0%	41.4 MB	721.9 MB	85.2 MB	76.5 MB
296	01/3bc5c8	167742	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C2_S)	COMPLETED	0	2024-04-03 09:33:10.862	4.5s	4s	245.5%	330.6 MB	6.5 GB	18.7 MB	5 MB
270	b9/6c6f59	159759	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_07_B)	COMPLETED	0	2024-04-03 09:32:51.989	23.4s	23s	115.4%	959.7 MB	7 GB	56.7 MB	13.5 MB
297	ec/942f15	168495	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C3_B)	COMPLETED	0	2024-04-03 09:33:12.210	4.5s	4s	236.0%	310.2 MB	6.5 GB	17.4 MB	5.2 MB
304	4e/79bfb9	169698	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S5_B)	COMPLETED	0	2024-04-03 09:33:15.438	1.9s	2s	238.5%	39 MB	718.8 MB	108.6 MB	99.7 MB
301	ea/a27bd6	169677	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_C3_S)	COMPLETED	0	2024-04-03 09:33:15.376	2s	2s	214.8%	66 MB	819.8 MB	98.3 MB	89.3 MB
300	ca/e655fe	169231	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_C3_S)	COMPLETED	0	2024-04-03 09:33:13.700	4.3s	3s	259.7%	325.6 MB	6.5 GB	18.6 MB	5.1 MB
309	66/c5b9d3	171502	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S5_S)	COMPLETED	0	2024-04-03 09:33:17.975	2.2s	2s	267.3%	41.6 MB	784 MB	120.3 MB	111 MB
303	d3/287ada	170225	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S5_B)	COMPLETED	0	2024-04-03 09:33:16.770	4.2s	4s	288.3%	345.5 MB	6.6 GB	18.6 MB	5.1 MB
308	dd/6894aa	171090	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S5_S)	COMPLETED	0	2024-04-03 09:33:17.414	4.4s	4s	301.6%	417.9 MB	6.5 GB	20.2 MB	5.2 MB
312	a0/93c60c	172688	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S6_B)	COMPLETED	0	2024-04-03 09:33:21.037	1.9s	1s	272.6%	40 MB	386 MB	126.4 MB	117.2 MB
314	a3/f09c44	172968	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S6_S)	COMPLETED	0	2024-04-03 09:33:21.871	2.1s	1s	225.3%	66.3 MB	819.8 MB	97.2 MB	88.3 MB
311	7a/9f8e96	172360	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S6_B)	COMPLETED	0	2024-04-03 09:33:20.202	4.5s	4s	317.5%	412.8 MB	6.5 GB	20.3 MB	5.1 MB
317	df/e7085f	174205	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S7_B)	COMPLETED	0	2024-04-03 09:33:24.040	2s	1s	231.6%	41.6 MB	783.7 MB	97.1 MB	88.4 MB
313	d6/7f6c5d	173596	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S6_S)	COMPLETED	0	2024-04-03 09:33:23.006	4.5s	4s	268.3%	338 MB	6.5 GB	18.4 MB	5.1 MB
319	11/2cdc78	175136	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_VW_S7_S)	COMPLETED	0	2024-04-03 09:33:26.092	1.8s	1s	197.6%	31.8 MB	44 MB	65.3 MB	56.8 MB
318	34/8961f6	174473	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S7_B)	COMPLETED	0	2024-04-03 09:33:24.721	4.5s	4s	225.3%	330 MB	6.4 GB	17.8 MB	5 MB
323	39/db7a1a	175846	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_1_B)	COMPLETED	0	2024-04-03 09:33:27.972	2.3s	2s	371.9%	285.2 MB	1.5 GB	251.4 MB	240.9 MB
320	5e/649eb5	175643	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_VW_S7_S)	COMPLETED	0	2024-04-03 09:33:27.565	4.4s	4s	289.7%	354.5 MB	6.3 GB	16.1 MB	5.2 MB
324	34/c09da4	176247	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_1_B)	COMPLETED	0	2024-04-03 09:33:29.252	5.1s	5s	232.8%	445.3 MB	6.3 GB	30.6 MB	5.3 MB
326	e3/567a4e	177312	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_1_S)	COMPLETED	0	2024-04-03 09:33:32.024	2.9s	2s	446.5%	307.1 MB	1.6 GB	376.8 MB	364.1 MB
325	18/793f3a	176825	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_1_S)	COMPLETED	0	2024-04-03 09:33:30.307	5.6s	5s	266.6%	549.4 MB	6.5 GB	40.1 MB	5.1 MB
328	c9/94d6dc	178082	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_2_B)	COMPLETED	0	2024-04-03 09:33:34.381	2.8s	3s	468.0%	313.3 MB	1.7 GB	419.2 MB	407.2 MB
333	47/8e4f28	179349	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_2_S)	COMPLETED	0	2024-04-03 09:33:37.227	2.7s	2s	431.2%	324.7 MB	1.7 GB	304.8 MB	293.9 MB
332	8e/d539ea	178920	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_2_S)	COMPLETED	0	2024-04-03 09:33:35.940	4.3s	4s	312.7%	452.1 MB	6.3 GB	33 MB	5.2 MB
329	55/2c61ff	178380	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_2_B)	COMPLETED	0	2024-04-03 09:33:34.962	5.5s	5s	243.0%	585.1 MB	6.4 GB	40.4 MB	5.2 MB
337	0f/c1aea1	180623	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_3_S)	COMPLETED	0	2024-04-03 09:33:40.497	2.3s	1s	351.8%	155 MB	1 GB	232.4 MB	222.3 MB
334	b9/9f5672	180421	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_3_B)	COMPLETED	0	2024-04-03 09:33:40.312	3s	3s	465.3%	319.9 MB	1.7 GB	452.4 MB	439.6 MB
307	c0/39c6c9	171088	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_09_B)	COMPLETED	0	2024-04-03 09:33:17.388	27.3s	27s	116.3%	1 GB	7.1 GB	63.4 MB	17.7 MB
340	e0/14ab45	181978	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_4_B)	COMPLETED	0	2024-04-03 09:33:43.319	2.1s	2s	368.6%	200.2 MB	1.2 GB	211 MB	200.9 MB
335	14/c56868	180280	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_3_B)	COMPLETED	0	2024-04-03 09:33:39.998	5.5s	5s	253.9%	555.3 MB	6.5 GB	44.1 MB	5.3 MB
343	c1/cceaf8	182988	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_501_4_S)	COMPLETED	0	2024-04-03 09:33:45.454	2.6s	2s	533.1%	333.9 MB	1.7 GB	494 MB	479.7 MB
338	e5/b92fc8	181652	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_3_S)	COMPLETED	0	2024-04-03 09:33:42.783	5.5s	5s	252.5%	402.9 MB	6.5 GB	27.3 MB	5.2 MB
339	86/390145	182373	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_4_B)	COMPLETED	0	2024-04-03 09:33:44.697	4.3s	4s	302.2%	373.6 MB	6.5 GB	26.9 MB	5.2 MB
344	c0/27018d	184074	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_01_B)	COMPLETED	0	2024-04-03 09:33:48.103	2.8s	2s	462.9%	335 MB	1.7 GB	429.1 MB	416.6 MB
342	8d/f945ce	183015	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_501_4_S)	COMPLETED	0	2024-04-03 09:33:45.526	5.5s	5s	270.0%	770.3 MB	6.5 GB	48.1 MB	5.1 MB
347	8e/99bb4b	184549	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_02_B)	COMPLETED	0	2024-04-03 09:33:49.043	4.4s	4s	265.9%	357 MB	6.4 GB	30.1 MB	5.1 MB
348	73/dc143d	185494	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_02_B)	COMPLETED	0	2024-04-03 09:33:50.979	2.6s	2s	402.6%	328 MB	1.7 GB	268.9 MB	258.5 MB
345	5c/00657e	184226	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_01_B)	COMPLETED	0	2024-04-03 09:33:48.339	5.6s	5s	239.1%	764.7 MB	6.5 GB	40.6 MB	5.1 MB
350	cf/2f5720	186486	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_03_B)	COMPLETED	0	2024-04-03 09:33:53.411	2.5s	2s	441.0%	331.3 MB	1.7 GB	335.8 MB	324.1 MB
351	fc/b973b0	186600	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_03_B)	COMPLETED	0	2024-04-03 09:33:53.591	4.5s	4s	293.4%	570.8 MB	6.4 GB	34.7 MB	5.1 MB
353	d8/f28e4d	187659	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_04_B)	COMPLETED	0	2024-04-03 09:33:55.938	2.3s	2s	385.4%	321.3 MB	1.7 GB	258.4 MB	248 MB
354	15/964811	186858	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_04_B)	COMPLETED	0	2024-04-03 09:33:53.946	5.5s	5s	240.1%	395 MB	6.4 GB	29.8 MB	5.2 MB
356	a9/3fd701	188463	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_05_B)	COMPLETED	0	2024-04-03 09:33:58.112	2s	1s	195.2%	32.3 MB	44.6 MB	72.7 MB	64.3 MB
357	7b/355cb2	189011	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_06_B)	COMPLETED	0	2024-04-03 09:33:59.486	2s	2s	328.0%	110.4 MB	913.6 MB	174.1 MB	164.6 MB
355	2d/cd3c53	188562	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_05_B)	COMPLETED	0	2024-04-03 09:33:58.304	3.5s	3s	319.9%	258.7 MB	6.5 GB	16.7 MB	5.1 MB
361	a5/360573	190411	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_07_B)	COMPLETED	0	2024-04-03 09:34:01.806	2.2s	1s	398.6%	281 MB	1.6 GB	244.1 MB	233.7 MB
358	76/bb1c0d	189572	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_06_B)	COMPLETED	0	2024-04-03 09:34:00.111	4.4s	4s	288.1%	386.4 MB	6.5 GB	23.4 MB	5.1 MB
364	75/7e7995	191498	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_08_B)	COMPLETED	0	2024-04-03 09:34:04.575	2.6s	3s	437.3%	332.4 MB	1.7 GB	333.5 MB	321.9 MB
360	1c/2d85ad	191256	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_07_B)	COMPLETED	0	2024-04-03 09:34:04.014	4.6s	4s	282.0%	493 MB	6.4 GB	29.1 MB	5.2 MB
365	86/72f89f	192246	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_08_B)	COMPLETED	0	2024-04-03 09:34:07.194	5.5s	5s	237.2%	506.3 MB	6.3 GB	34.6 MB	5.1 MB
368	6d/e426fe	192588	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_09_B)	COMPLETED	0	2024-04-03 09:34:08.594	5.6s	6s	276.1%	1.2 GB	6.4 GB	54.9 MB	5 MB
367	c0/9ede08	193391	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_09_B)	COMPLETED	0	2024-04-03 09:34:12.690	3.3s	2s	597.5%	351.9 MB	1.7 GB	596.5 MB	582.2 MB
349	48/246736	185504	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_11_B)	COMPLETED	0	2024-04-03 09:33:51.025	27.9s	27s	112.4%	1 GB	7.1 GB	63.7 MB	18.4 MB
371	f8/7d4067	194491	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_10_B)	COMPLETED	0	2024-04-03 09:34:16.032	4.5s	4s	296.6%	486.2 MB	6.4 GB	39 MB	5.2 MB
372	23/125d12	194988	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_10_B)	COMPLETED	0	2024-04-03 09:34:18.899	2.7s	2s	471.7%	319.7 MB	1.7 GB	368.3 MB	355.3 MB
359	a7/687e9b	190237	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_12_B)	COMPLETED	0	2024-04-03 09:34:01.527	22.6s	22s	122.1%	970 MB	7 GB	57.1 MB	13.9 MB
373	73/8b55fa	195934	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_11_B)	COMPLETED	0	2024-04-03 09:34:21.656	2.8s	2s	385.3%	329.6 MB	1.7 GB	324.8 MB	314 MB
374	cd/032883	195586	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_11_B)	COMPLETED	0	2024-04-03 09:34:20.544	4.5s	4s	345.5%	596.3 MB	6.6 GB	32 MB	5.1 MB
376	75/7923cc	196721	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_12_B)	COMPLETED	0	2024-04-03 09:34:24.172	2.7s	2s	436.1%	331.7 MB	1.7 GB	341.1 MB	329.3 MB
379	c7/f4be83	197201	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_13_B)	COMPLETED	0	2024-04-03 09:34:25.043	2.7s	2s	423.1%	327.5 MB	1.7 GB	343 MB	331.6 MB
375	da/87af5a	196857	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_12_B)	COMPLETED	0	2024-04-03 09:34:24.474	5.6s	5s	292.2%	700.8 MB	6.6 GB	38.2 MB	5 MB
381	f0/879edb	198384	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_14_B)	COMPLETED	0	2024-04-03 09:34:27.722	4.5s	4s	256.3%	324.1 MB	6.4 GB	21.7 MB	5 MB
378	71/3e4826	198091	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_13_B)	COMPLETED	0	2024-04-03 09:34:26.857	5.5s	5s	246.9%	515.7 MB	6.5 GB	35.2 MB	5.1 MB
382	92/a8b0a2	198971	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_14_B)	COMPLETED	0	2024-04-03 09:34:30.130	2.3s	2s	264.6%	78.2 MB	831.6 MB	134.6 MB	125.4 MB
386	9d/46bca9	199856	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_15_B)	COMPLETED	0	2024-04-03 09:34:32.427	2.3s	2s	304.3%	110 MB	913.7 MB	170.3 MB	160.7 MB
370	69/304931	193779	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_13_B)	COMPLETED	0	2024-04-03 09:34:14.213	21.8s	21s	115.8%	940.7 MB	7 GB	56.7 MB	12.9 MB
385	c4/120752	199817	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_15_B)	COMPLETED	0	2024-04-03 09:34:32.372	4.6s	4s	293.2%	418.1 MB	6.6 GB	24 MB	5.2 MB
389	77/77325b	201192	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_16_B)	COMPLETED	0	2024-04-03 09:34:36.024	3.1s	2s	540.1%	330.2 MB	1.7 GB	516.4 MB	501.5 MB
392	4b/7992ff	201529	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_17_B)	COMPLETED	0	2024-04-03 09:34:37.062	2.6s	2s	329.0%	234.8 MB	1.3 GB	207.2 MB	196.9 MB
388	84/95acc3	200822	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_16_B)	COMPLETED	0	2024-04-03 09:34:34.760	5.6s	5s	256.4%	856.2 MB	6.5 GB	49.7 MB	5.2 MB
393	8c/c68e75	203130	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C1_B)	COMPLETED	0	2024-04-03 09:34:40.352	3.1s	3s	475.1%	322.2 MB	1.7 GB	425.9 MB	413.1 MB
391	f9/d1ef5a	202576	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_17_B)	COMPLETED	0	2024-04-03 09:34:39.140	4.4s	4s	275.0%	310.8 MB	6.3 GB	27.8 MB	5.1 MB
394	f4/b60930	202842	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C1_B)	COMPLETED	0	2024-04-03 09:34:39.659	5.6s	5s	260.5%	520.1 MB	6.3 GB	43.7 MB	5.1 MB
396	6c/abd3bd	204243	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C2_B)	COMPLETED	0	2024-04-03 09:34:43.606	2.2s	2s	357.4%	241.4 MB	1.3 GB	226.8 MB	216.5 MB
395	7a/f16346	204190	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C2_B)	COMPLETED	0	2024-04-03 09:34:43.483	4.5s	4s	272.8%	417.2 MB	6.5 GB	27.7 MB	5 MB
399	51/88e4de	205043	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C3_B)	COMPLETED	0	2024-04-03 09:34:45.268	2.9s	3s	559.8%	329.1 MB	1.7 GB	531 MB	515.9 MB
401	3a/7949ec	206180	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C4_B)	COMPLETED	0	2024-04-03 09:34:48.250	2.6s	2s	332.3%	271.5 MB	1.5 GB	219.4 MB	209.2 MB
398	97/171ac9	205231	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C3_B)	COMPLETED	0	2024-04-03 09:34:45.805	5.5s	5s	263.0%	550.7 MB	6.5 GB	49.6 MB	5.2 MB
400	07/728712	206030	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C4_B)	COMPLETED	0	2024-04-03 09:34:47.958	4.5s	4s	280.2%	413.4 MB	6.3 GB	27.4 MB	5.1 MB
383	6f/98c23f	199747	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_14_B)	COMPLETED	0	2024-04-03 09:34:32.217	21.7s	21s	117.3%	920.3 MB	7 GB	54.5 MB	11.8 MB
405	e9/6ee11c	207647	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C5_B)	COMPLETED	0	2024-04-03 09:34:52.525	2s	2s	208.4%	33.2 MB	45.5 MB	78 MB	69.5 MB
404	df/f63d87	207256	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C5_B)	COMPLETED	0	2024-04-03 09:34:51.305	4.5s	4s	273.3%	326.3 MB	6.5 GB	17.5 MB	5.2 MB
407	f0/866197	208526	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_REV_C6_B)	COMPLETED	0	2024-04-03 09:34:54.523	2.4s	2s	403.8%	325.6 MB	1.7 GB	270.1 MB	259.3 MB
409	aa/50f0b1	208916	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_01_B)	COMPLETED	0	2024-04-03 09:34:55.794	2.5s	2s	518.3%	334.9 MB	1.7 GB	438 MB	425.7 MB
406	86/9234ce	208020	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_REV_C6_B)	COMPLETED	0	2024-04-03 09:34:53.959	4.5s	4s	289.7%	331.2 MB	6.4 GB	30.3 MB	5 MB
411	ce/e9870e	210323	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_01_S)	COMPLETED	0	2024-04-03 09:34:58.515	2.9s	3s	505.7%	331 MB	1.7 GB	458.9 MB	445.3 MB
408	b0/3323df	209497	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_01_B)	COMPLETED	0	2024-04-03 09:34:56.898	5.4s	5s	244.4%	839.3 MB	6.3 GB	42.8 MB	5.1 MB
412	34/f6d829	210196	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_01_S)	COMPLETED	0	2024-04-03 09:34:58.293	5.6s	5s	257.0%	672.8 MB	6.3 GB	44.8 MB	5.2 MB
415	4a/fedf18	211381	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_02_B)	COMPLETED	0	2024-04-03 09:35:01.475	2.8s	3s	480.7%	334.4 MB	1.7 GB	404.1 MB	391.9 MB
417	16/0200f7	212301	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_02_S)	COMPLETED	0	2024-04-03 09:35:03.863	3.4s	3s	582.7%	336.3 MB	1.7 GB	684.8 MB	669 MB
414	72/f9b671	211643	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Nov_SF_02_B)	COMPLETED	0	2024-04-03 09:35:02.352	5.5s	5s	242.4%	718.3 MB	6.4 GB	41.4 MB	5.2 MB
419	81/8ebfe5	213960	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Nov_SF_S3_B)	COMPLETED	0	2024-04-03 09:35:07.910	1.5s	1s	102.3%	2.7 MB	13.1 MB	8.7 MB	1 MB
